Product,Category,Brand,Price,Seller_name,Average_Product_rating,Buyer_comments,Buyer_comment_title,Buyer_product_review
"CG 43D3100S 43""  FHD 1080p Smart LED TV - (Black)","TVs, Audio & Cameras",CG,Rs48500,Sonam Vision,0,,,
"Philips 50PFT6709/90 HD 1080p 50"" LED TV","TVs, Audio & Cameras",Philips,Rs100900,Philips,0,,,
Tiny Tabala Set- Red/Silver,"TVs, Audio & Cameras",,Rs3800,Music Point,0,,,
Gemei GM-721 Length Adjusting Hair And Beard Trimmer,Beauty & Health,Gemei,Rs449,AB Tech,3.8,,"shit,Best Budget Trimmer,Good item in low budget,USED,about product","20,10,10,20,60"
The Toy Store Red/Orange  Small Sized Macqueen Car,"Baby, Toys & Kids",The Toy Store,Rs1185,The Toy Store,0,,,
VEGA Funtastic Open Face Helmet With Visor - Black/M.Blue,Automotive & Motorcycles,VEGA,Rs2000,Pitstop,0,,,
VEGA Funtastic Open Face Helmet With Visor - White/Red,Automotive & Motorcycles,VEGA,Rs2000,Pitstop,0,,,
"Xiaomi Redmi Note 5A Prime [3 GB RAM, 32 GB ROM] - Gold",Phones & Tablets,Xiaomi,Rs17499,Xiaomi Nepal,2,,,
3.5mm Audio Jack Stereo Headphone Splitter Cable Adapter- White,Phones & Tablets,,Rs150,aarush31,3.4,,Okay,80
5 in 1 Beauty Care face Massager,Equipment,,Rs540,sastotrade,0,,,
Kaili Head Massager Cheek Massager Hair Massager Combo Set,Equipment,,Rs1099,KpItSolution,0,,,
"Mini Mike - Karaoke Microphone, Stereo Mic With Earphone For Voice Recording","TVs, Audio & Cameras",,Rs499,sastotrade,0,,,
Mini Clip-On Wired Microphone,"TVs, Audio & Cameras",,Rs449,e dokaan,0,,,
"WF 3110  WeiFeng Telescoping Camera Tripod, Phone Holder","TVs, Audio & Cameras",,Rs788,AB Tech,3.6,,,
Sanford SF-69CSI 2300W Ceramic Steam Iron - (Grey/White),Appliances,Sanford,Rs3190,Electro Plaza,5,,,
Metal Shell Apple Lightning Micro USB to Lightning Adapter For iPhone,Phones & Tablets,,Rs89,Gadget Guru,0,,,
Black/White Square Shaped Wall Clock With Keyring(1317),Home & Living,,Rs400,Akash International,0,,,
Flying Butterflies Decorative Wall Clock,Home & Living,,Rs1550,Kyvor Trade,0,,,
Turquoise Panda Printed King Bed Sheet With 2 Pillow Covers,Home & Living,,Rs2400,Muskan Enterprises,0,,,
Videocon 55DN5 55'' Ultra HD 4K Smart LED TV,"TVs, Audio & Cameras",Videocon,Rs65400,QEPL,5,,,
KAAPA Green/Red Checkered Queen Size Bedsheet ,Home & Living,KAAPA,Rs900,Kaapa Creations,0,,,
Relax and Spin Relaxing Massager,Equipment,,Rs1049,KpItSolution,5,,,
Grey Glassbead Floral Woven Necklace For Women,Women's Fashion,,Rs250,We Nepal,0,,,
Archies Green 'Cute Barbie' Modeled Key Ring,Lifestyle Accessories,Archies,Rs250,Archies Nepal,0,,,
Metallic Heart Photo Flame Key Ring,Lifestyle Accessories,,Rs560,Garima Gift and Flower,0,,,
Cumin Powder 150Gm,Grocer's Shop,,Rs199,Baskota Group,0,,,
Coriander Powder 150gm,Grocer's Shop,,Rs175,Baskota Group,0,,,
MC002 - Floral & Abstract Patterned Bedsheet - 250cm x 275 cm - Multicolor,Home & Living,,Rs1099,Swift,0,,,
KAAPA Yellow Printed Queen Size Bedsheet ,Home & Living,KAAPA,Rs1695,Kaapa Creations,0,,,
"CG 43D7300 43""  FHD 1080p LED TV - (Black)","TVs, Audio & Cameras",CG,Rs44500,Sonam Vision,0,,,
KAAPA Yellow Floral Printed Queen Size Bedsheet ,Home & Living,KAAPA,Rs1695,Kaapa Creations,0,,,
"Prizma D390LS-FHD 39"" Full HD Smart LED TV - Black","TVs, Audio & Cameras",Prizma,Rs46405,E City,0,,,
"Maroon/Purple 100% Cotton Quilt Cover Set (Quilt Cover In Thin Fiber, Bedsheet & Pillow Covers)",Home & Living,,Rs5095,Rangoli,0,,,
KAAPA Yellow Fish Printed Queen Size Bedsheet ,Home & Living,KAAPA,Rs1695,Kaapa Creations,0,,,
Grey Star Printed Cotton Bed Set With Duvet Cover,Home & Living,,Rs3000,Rangoli,0,,,
Canon EOS 80D Digital SLR Camera Body With Single Lens: 18-135 IS USM (16 GB SD Card + Bagpack + Tripod) - Black,"TVs, Audio & Cameras",Canon,Rs137000,gharkostore,5,,,
Maya Bedding & Decor Tom And Jerry Decor Wall Stickers (ZY14141),Home & Living,Maya Bedding & Decor,Rs480,Maya Bedding and Decor,0,,,
SABAH Brown Knitted Beanie Cap For Women,Charity & Donation,SABAH,Rs475,Sabah Nepal,0,,,
Ginger Powder 150gm,Grocer's Shop,,Rs260,Baskota Group,0,,,
Nepal Organic Foil Pack Green Tea- 500 G,Grocer's Shop,,Rs875,MountAgroPvt.Ltd,0,,,
SABAH Red/White 100% Bamboo Printed Shawl For Women,Charity & Donation,SABAH,Rs1030,Sabah Nepal,0,,,
Sakhejung Organic Green Tea,Grocer's Shop,,Rs450,e dokaan,0,,,
Organic Turmeric Powder 150Gm,Grocer's Shop,,Rs250,Baskota Group,0,,,
Cream Floral Bedsheet With 2 Pillow Covers Free-STCR001,Home & Living,,Rs899,Lite feather group,0,,,
Alpha A6101 10mm Heavy Duty Electric Drill Machine - (Green),Home & Living,Alpha,Rs1690,Electro Nepal,3,,,
Pink/Blue Polka Dot Bed Set With Duvet Cover,Home & Living,,Rs1800,Rangoli,0,,,
8 in 1 Hardware Tool Set For Repairing ,Home & Living,,Rs800,Nepbuy Store,0,,,
Brown Floral Printed 5D Bed Set With Duvet Cover,Home & Living,,Rs1900,Rangoli,0,,,
Gorkha Ayurvedic Arogya Soup- 150 gm,Grocer's Shop,Gorkha Ayurvedic,Rs500,Gorkha Natural Herbal Store,0,,,
Yellow/Brown Stripe Printed Bed Set With Duvet Cover,Home & Living,,Rs1800,Rangoli,0,,,
Multi-Purpose Foldable Wooden Laptop Table,Home & Living,,Rs2000,NayaaNaulo,0,,,
SABAH Maroon Knitted Hand-warmer For Women,Charity & Donation,SABAH,Rs310,Sabah Nepal,0,,,
"Toshiba 24L2600VL 24""  HD 720p LED TV - (Black)","TVs, Audio & Cameras",Toshiba,Rs21334,Sonam Vision,0,,,
